No,상품명,cate_code,대분류,중분류,소분류,세분류,prd_key
43450,에버라스트 전자휘슬 130db 스포츠 호각 호루라기,50001179,스포츠/레저,스포츠액세서리,호각/호루라기,N,스포츠/레저$스포츠액세서리$호각/호루라기$N
43451,sicca 시카 초코룹스 시리얼 초코링 choco loops 초코링 700g/2.5kg,50013181,식품,과자/베이커리,시리얼,N,식품$과자/베이커리$시리얼$N
43452,어린이 우비 레인코트 유아동 단체우비 4~7세용,50007125,출산/육아,유아동의류,레인코트,N,출산/육아$유아동의류$레인코트$N
43453,에뜨와 실키겉싸개 07O084101,50000510,출산/육아,유아침구,겉싸개,N,출산/육아$유아침구$겉싸개$N
43454,시공 대림바스 원피스 양변기 무소음커버 부속포함 CC-260 CC260,50008828,생활/건강,욕실용품,위생도기,양변기,생활/건강$욕실용품$위생도기$양변기
43455,위닉스 공기청정기 CAF-NK331 Q300 호환필터,50008940,디지털/가전,계절가전,공기정화기,기타부속품,디지털/가전$계절가전$공기정화기$기타부속품
43456,웨신 NEW 그랜드롱 구두주걱 받침세트 월넛,50000671,패션잡화,신발용품,구둣주걱,N,패션잡화$신발용품$구둣주걱$N
43457,네일케어 큐티클 니퍼x10개 손톱다듬기 네일케어재료,50000612,출산/육아,위생/건강용품,유아이발용품,N,출산/육아$위생/건강용품$유아이발용품$N
43458,"돌잔치 초대장 돌 청첩장 소량 주문 제작 단면인화 01 (봉투, 스티커 포함)",50008111,생활/건강,문구/사무용품,카드/엽서/봉투,모바일초대장,생활/건강$문구/사무용품$카드/엽서/봉투$모바일초대장
43459,캐슈넛 200G 구운 견과류 건과류 생캐슈넛 캐슈너트 아몬드 호두,50002242,식품,농산물,견과류,캐슈너트,식품$농산물$견과류$캐슈너트
43460,PSK 점보메로골드 자몽  3kg  1개,50002191,식품,농산물,과일,자몽,식품$농산물$과일$자몽
43461,은주얼리세트 라운드 펜던트 목걸이와 스터드 귀걸이 세트 쉘 6L 스테인레 스톤헨지실버세트,50004183,패션잡화,주얼리,주얼리세트,은세트,패션잡화$주얼리$주얼리세트$은세트
43462,수제 나무 캠핑 정원 의자 캔버스 Foldable 야외 나무 의자 접는 가구,50001055,가구/인테리어,아웃도어가구,야외의자,N,가구/인테리어$아웃도어가구$야외의자$N
43463,해금 국악학원 입문용 아쟁 배우기 전통 악기 레슨,50004364,생활/건강,악기,국악기,해금,생활/건강$악기$국악기$해금
43464,더메이크 로사휠 골프백세트 여성용 3컬러,50002795,스포츠/레저,골프,골프백,골프백세트,스포츠/레저$골프$골프백$골프백세트
43465,귀여운 강아지 핸드폰이어캡(옐로우) 이어폰마개 핸드폰용품 이어폰캡 폼팁,50000257,디지털/가전,휴대폰액세서리,휴대폰이어캡,N,디지털/가전$휴대폰액세서리$휴대폰이어캡$N
43466,아디다스 티로 클럽 축구공 4호 5호 축구볼 공 FS0365,50001550,스포츠/레저,축구,축구공,N,스포츠/레저$축구$축구공$N
43467,토리든 다이브인 저분자 히알루론산 클렌징 워터 400ml,50000456,화장품/미용,클렌징,클렌징워터,N,화장품/미용$클렌징$클렌징워터$N
43468,엑스블루 남자5부 수영복 XMQ-6103 (BLK),50003051,스포츠/레저,수영,남성수영복,반신수영복,스포츠/레저$수영$남성수영복$반신수영복
43469,웰고 토클립 페달 자전거 토클릿 평페달,50002857,스포츠/레저,자전거,자전거부품,클릿/페달,스포츠/레저$자전거$자전거부품$클릿/페달
43470,시마노 RS171 디스크 휠세트 700c 로드자전거,50002861,스포츠/레저,자전거,자전거부품,휠셋/림/스프라켓,스포츠/레저$자전거$자전거부품$휠셋/림/스프라켓
43471,넥스코 내열유리 냉장고 물병 저그 물통 보틀 1 1L 1 1리터,50004567,생활/건강,주방용품,보관/밀폐용기,물병,생활/건강$주방용품$보관/밀폐용기$물병
43472,옥스포드화 더비슈즈 인텐시브 통굽 여성화 로퍼 굽 단화,50003819,패션잡화,여성신발,단화,옥스퍼드화,패션잡화$여성신발$단화$옥스퍼드화
43473,피스코리아 평화 MAX 제본용 스테플러 VAIMO80,50007770,생활/건강,문구/사무용품,문구용품,스테이플러/침,생활/건강$문구/사무용품$문구용품$스테이플러/침
43474,한일전기 35cm 전자식 초미풍 선풍기 EFE-404R,50002513,디지털/가전,계절가전,선풍기,스탠드형선풍기,디지털/가전$계절가전$선풍기$스탠드형선풍기
43475,물빠짐수저통 수저정리함 스텐 [럭셔리 2구],50004526,생활/건강,주방용품,식기,수저통,생활/건강$주방용품$식기$수저통
43476,토오픈 웨지힐 미들힐 펌프스,50003827,패션잡화,여성신발,힐/펌프스,웨지힐,패션잡화$여성신발$힐/펌프스$웨지힐
43477,부츠컷 양면 후리스 임산부바지 겨울 임부복바지,50000496,출산/육아,임부복,바지,N,출산/육아$임부복$바지$N
43478,포스터 캔버스 튜브형 칼라 리유트 리퀴텍스 수입 아크릴 물감 방수 디 벽화 그라피티,50003891,생활/건강,화방용품,물감/포스터컬러,아크릴물감,생활/건강$화방용품$물감/포스터컬러$아크릴물감
43479,셀러허브 1 아가방중계점 NC10 실리콘노리개젖꼭지 77J086623,50000677,출산/육아,수유용품,모유보관비닐팩,N,출산/육아$수유용품$모유보관비닐팩$N
43480,실리만 어린이 양손컵 레몬 WSB206,50000477,출산/육아,이유식용품,유아컵,N,출산/육아$이유식용품$유아컵$N
43481,일자표시 원두커피보관 스텐 밀폐용기 홈인테리어,50004571,생활/건강,주방용품,보관/밀폐용기,스텐용기,생활/건강$주방용품$보관/밀폐용기$스텐용기
43482,쿨러텍 COOLERTEC FAN HUB-1,50003143,디지털/가전,PC부품,튜닝용품,팬/온도컨트롤러,디지털/가전$PC부품$튜닝용품$팬/온도컨트롤러
43483,스텐 머그컵 텀블러 스텐컵 머그잔 빨대컵 스테인리스컵 판촉물 가게홍보,50004537,생활/건강,주방용품,잔/컵,머그,생활/건강$주방용품$잔/컵$머그
43484,남자 악어가죽장지갑 지퍼 중년 남성지갑 아버지선물,50003987,패션잡화,지갑,남성지갑,장지갑,패션잡화$지갑$남성지갑$장지갑
43485,크리스마스 접시 일회용 식기 종이 컵 냅킨 식탁보 세트 홈 테이블 새해,50003522,가구/인테리어,홈데코,주방데코,식탁보,가구/인테리어$홈데코$주방데코$식탁보
43486,볼라솔루션 MAXIMIZER P27 그래핀 코팅제,50003946,생활/건강,자동차용품,세차용품,광택코팅제,생활/건강$자동차용품$세차용품$광택코팅제
43487,흔들말 스프링 용수철 야외 놀이터 어린이집 경마실외 놀이시설 2인용 스프링시소 흔들자랑  16 자전거 시소,50004406,출산/육아,완구/매트,승용완구,스프링카,출산/육아$완구/매트$승용완구$스프링카
43488,고급 접이식 소프트좌면 목욕의자 보필8 BOFEEL8,50001947,생활/건강,실버용품,목욕보조용품,N,생활/건강$실버용품$목욕보조용품$N
43489,프랑스자수 DIY 세트 집콕취미키트 자수도안 민들레,50003664,가구/인테리어,수예,자수,패키지,가구/인테리어$수예$자수$패키지
43490,미쓰비시 가스예초기 부탄가스 LPG 충전 예초기 벌초 TL231E 풀베는기계,50003367,생활/건강,공구,예초기,가스예초기,생활/건강$공구$예초기$가스예초기
43491,필립스 의료용 적외선 램프 전구 IR250W BR125,50001925,생활/건강,물리치료/저주파용품,적외선조사기,N,생활/건강$물리치료/저주파용품$적외선조사기$N
43492,한일 울트라 활성탄 고효율 자동차에어컨필터,50003934,생활/건강,자동차용품,공기청정용품,에어컨필터,생활/건강$자동차용품$공기청정용품$에어컨필터
43493,초보자도 사용가능한 실속형 A4코팅기 사무용품 생활가전,50003758,생활/건강,문구/사무용품,사무기기,코팅기,생활/건강$문구/사무용품$사무기기$코팅기
43494,삼성전자 비스포크 MG23T5018CP,50001856,디지털/가전,주방가전,전자레인지,N,디지털/가전$주방가전$전자레인지$N
